index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
697,什坊街,西城 六铺炕 二至三环,800,万,128825,元/平米,1989年建/板楼,2室1厅1厨1卫,高楼层 (共6层),62.1㎡,南 北,简装,一梯两户,无,70年
698,清芷园,西城 右安门内 二环内,1720,万,105567,元/平米,2001年建/板塔结合,3室1厅1厨2卫,低楼层 (共15层),162.93㎡,南 北,简装,一梯两户,有,70年
699,盛景嘉园,西城 陶然亭 二环内,2380,万,131173,元/平米,2004年建/板楼,4室2厅1厨2卫,底层 (共7层),181.44㎡,南 北,精装,一梯三户,有,70年
700,如意里,西城 新街口 二环内,730,万,99864,元/平米,1989年建/板楼,3室1厅1厨1卫,高楼层 (共7层),73.1㎡,东 西,精装,一梯七户,无,70年
701,四平园,西城 陶然亭 二环内,906,万,97999,元/平米,1996年建/板楼,3室1厅1厨1卫,中楼层 (共6层),92.45㎡,东 西,简装,一梯三户,无,70年
702,朗琴园,西城 广安门 二至三环,1530,万,115429,元/平米,2006年建/塔楼,3室1厅1厨2卫,低楼层 (共29层),132.55㎡,东南,精装,三梯九户,有,70年
703,乐城,西城 菜户营 二至三环,1000,万,71783,元/平米,2004年建/塔楼,3室1厅1厨2卫,中楼层 (共24层),139.31㎡,西南,精装,三梯十三户,有,70年
704,三里河北街3号院,西城 月坛 二至三环,1285,万,148042,元/平米,1994年建/塔楼,3室1厅1厨1卫,高楼层 (共18层),86.8㎡,东南 南 西南,简装,四梯十户,有,70年
705,天宁寺东里,西城 天宁寺 二至三环,580,万,87127,元/平米,1980年建/板楼,3室1厅1厨1卫,低楼层 (共6层),66.57㎡,东 西,精装,一梯三户,无,70年
706,如意里,西城 新街口 二环内,599,万,90799,元/平米,1993年建/板楼,3室1厅1厨1卫,底层 (共7层),65.97㎡,南 北,简装,一梯三户,无,70年
707,西直门南大街,西城 官园 二环内,570,万,128960,元/平米,1989年建/塔楼,1室1厅1厨1卫,中楼层 (共16层),44.2㎡,东,其他,两梯七户,有,70年
708,椿树园,西城 宣武门 二环内,1090,万,97899,元/平米,1999年建/板塔结合,3室2厅1厨1卫,中楼层 (共14层),111.34㎡,东 南 西,简装,一梯两户,有,70年
709,丰汇园小区,西城 金融街 二环内,2600,万,169935,元/平米,1998年建/板楼,4室3厅1厨3卫,顶层 (共6层),153㎡,南 北,其他,一梯两户,无,70年
710,平原里小区,西城 牛街 二环内,629,万,98605,元/平米,1999年建/板楼,2室1厅1厨1卫,低楼层 (共9层),63.79㎡,南 北,其他,两梯两户,有,70年
711,东桃园,西城 西直门 二环内,1280,万,109683,元/平米,1998年建/板楼,2室2厅1厨1卫,高楼层 (共6层),116.7㎡,东 西,简装,一梯三户,暂无数据,70年
712,官园胡同,西城 官园 二环内,820,万,141136,元/平米,1985年建/板楼,2室1厅1厨1卫,低楼层 (共6层),58.1㎡,南 北,精装,一梯两户,暂无数据,70年
713,禄长街头条,西城 陶然亭 二环内,635,万,80208,元/平米,1992年建/板楼,3室1厅1厨1卫,顶层 (共6层),79.17㎡,南 北,简装,一梯三户,无,70年
714,锦官苑,西城 车公庄 二至三环,2950,万,153041,元/平米,2004年建/板塔结合,4室1厅1厨2卫,低楼层 (共18层),192.76㎡,东南 西南,简装,两梯三户,有,70年
715,红居斜街,西城 广安门 二至三环,830,万,91029,元/平米,1997年建/板楼,3室1厅1厨1卫,顶层 (共6层),91.18㎡,南 北,简装,一梯四户,无,70年
716,锦官苑,西城 车公庄 二至三环,2350,万,115884,元/平米,2004年建/板塔结合,4室2厅1厨2卫,低楼层 (共18层),202.79㎡,南 北,简装,两梯两户,有,70年
717,陶然北岸,西城 陶然亭 二环内,1400,万,118735,元/平米,2004年建/塔楼,3室1厅1厨2卫,高楼层 (共18层),117.91㎡,西北,精装,两梯五户,有,70年
718,小市口胡同3号院,西城 六铺炕 二至三环,828,万,134198,元/平米,1992年建/板楼,2室1厅1厨1卫,中楼层 (共6层),61.7㎡,南 北,简装,一梯两户,无,70年
719,建功北里,西城 白纸坊 二环内,470,万,96569,元/平米,1996年建/板楼,1室1厅1厨1卫,高楼层 (共6层),48.67㎡,南,简装,一梯三户,无,70年
720,三里河东路,西城 月坛 二至三环,820,万,124149,元/平米,1994年建/板楼,2室1厅1厨1卫,低楼层 (共6层),66.05㎡,东,简装,一梯八户,无,70年
721,白纸坊东街,西城 右安门内 二环内,555,万,95822,元/平米,1983年建/板楼,2室1厅1厨1卫,低楼层 (共6层),57.92㎡,东 西,简装,一梯两户,无,70年
722,红莲北里,西城 马连道 二至三环,585,万,94022,元/平米,1980年建/板楼,2室1厅1厨1卫,低楼层 (共6层),62.22㎡,南,简装,一梯四户,无,70年
723,椿树园,西城 宣武门 二环内,630,万,131827,元/平米,1999年建/板楼,1室1厅1厨1卫,中楼层 (共13层),47.79㎡,南,简装,两梯六户,有,70年
724,车公庄北里,西城 车公庄 二至三环,520,万,134716,元/平米,1985年建/塔楼,1室0厅1厨1卫,中楼层 (共18层),38.6㎡,南,简装,两梯六户,有,70年
725,物华大厦,西城 阜成门 二至三环,800,万,67717,元/平米,2000年建/塔楼,1室1厅1厨2卫,中楼层 (共24层),118.14㎡,西北,精装,五梯八户,有,70年
726,裕中西里,西城 马甸 三至四环,850,万,142379,元/平米,1982年建/板楼,3室1厅1厨1卫,低楼层 (共6层),59.7㎡,东 西 北,精装,一梯三户,无,70年
727,依莲轩,西城 马连道 二至三环,810,万,83463,元/平米,2001年建/塔楼,2室1厅1厨1卫,高楼层 (共24层),97.05㎡,东南,精装,两梯四户,有,70年
728,新风北里,西城 马甸 二至三环,960,万,144797,元/平米,1989年建/塔楼,2室1厅1厨1卫,中楼层 (共16层),66.3㎡,东南,精装,两梯八户,有,70年
729,南运巷,西城 白纸坊 二环内,430,万,95940,元/平米,1980年建/塔楼,1室1厅1厨1卫,中楼层 (共16层),44.82㎡,东,其他,一梯三户,有,70年
730,槐柏树后街,西城 长椿街 二环内,800,万,105098,元/平米,1987年建/塔楼,3室1厅1厨1卫,顶层 (共18层),76.12㎡,东 西 北,其他,一梯八户,暂无数据,70年
731,双旗杆东里,西城 马甸 二至三环,705,万,136628,元/平米,1994年建/塔楼,1室1厅1厨1卫,高楼层 (共18层),51.6㎡,西南,精装,两梯十户,有,70年
732,鸭子桥北里,西城 天宁寺 二至三环,408,万,113776,元/平米,1980年建/板楼,1室1厅1厨1卫,中楼层 (共5层),35.86㎡,南,精装,一梯三户,无,70年
733,新外大街10号院,西城 马甸 二至三环,780,万,129140,元/平米,1994年建/板楼,2室1厅1厨1卫,底层 (共6层),60.4㎡,东 西,精装,一梯四户,无,70年
734,航空胡同11号院,西城 西四 二环内,555,万,133414,元/平米,1984年建/板楼,1室1厅1厨1卫,底层 (共6层),41.6㎡,南,简装,一梯三户,暂无数据,70年
735,裕中东里,西城 马甸 三至四环,1280,万,133473,元/平米,1991年建/板楼,3室1厅1厨1卫,底层 (共6层),95.9㎡,南 北,精装,一梯两户,无,70年
736,盛景嘉园,西城 陶然亭 二环内,2000,万,110230,元/平米,2004年建/板楼,4室2厅1厨2卫,中楼层 (共7层),181.44㎡,南 北,简装,一梯三户,有,70年
737,蝶翠华庭,西城 广安门 二至三环,930,万,93019,元/平米,2004年建/塔楼,2室2厅1厨2卫,低楼层 (共29层),99.98㎡,东,精装,四梯十户,有,70年
738,西直门外南路,西城 车公庄 二至三环,680,万,102103,元/平米,1984年建/塔楼,2室1厅1厨1卫,高楼层 (共18层),66.6㎡,南,简装,两梯六户,有,70年
739,玉桃园三区,西城 西直门 二环内,550,万,108696,元/平米,1997年建/板楼,1室1厅1厨1卫,低楼层 (共6层),50.6㎡,东,精装,一梯三十二户,无,70年
740,平原里小区,西城 牛街 二环内,606,万,95902,元/平米,1998年建/板楼,2室1厅1厨1卫,底层 (共6层),63.19㎡,南 北,精装,一梯两户,无,70年
741,红莲北里,西城 马连道 二至三环,668,万,94887,元/平米,1980年建/板楼,3室1厅1厨1卫,高楼层 (共6层),70.4㎡,东南 北,简装,一梯五户,无,70年
742,百万庄大街甲21号院,西城 阜成门 二至三环,995,万,128553,元/平米,1997年建/塔楼,2室1厅1厨1卫,高楼层 (共18层),77.4㎡,西北,简装,两梯六户,有,70年
743,朗琴园,西城 广安门 二至三环,1430,万,101845,元/平米,2002年建/塔楼,3室2厅1厨2卫,中楼层 (共29层),140.41㎡,南 北,精装,两梯八户,有,70年
744,椿树园,西城 宣武门 二环内,790,万,117718,元/平米,1999年建/板塔结合,2室1厅1厨1卫,高楼层 (共13层),67.11㎡,南 北,精装,一梯三户,有,70年
745,德胜里一区,西城 德胜门 二至三环,760,万,163441,元/平米,1987年建/塔楼,1室1厅1厨1卫,高楼层 (共18层),46.5㎡,南 北,简装,一梯七户,有,70年
746,青春无限,西城 牛街 二环内,850,万,93090,元/平米,2004年建/塔楼,2室1厅1厨1卫,中楼层 (共22层),91.31㎡,西南,精装,三梯十六户,有,70年
747,真武庙六里,西城 木樨地 二至三环,730,万,149285,元/平米,1990年建/塔楼,1室1厅1厨1卫,高楼层 (共19层),48.9㎡,东南,简装,两梯十一户,有,70年
748,丽水莲花,西城 广安门 二至三环,930,万,96394,元/平米,2009年建/板塔结合,2室1厅1厨1卫,高楼层 (共26层),96.48㎡,东 南,精装,两梯八户,有,70年
