index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
749,荣丰2008,西城 广安门 二至三环,410,万,158058,元/平米,2004年建/塔楼,1室1厅1厨1卫,高楼层 (共20层),25.94㎡,南,简装,四梯三十九户,有,70年
750,长椿街,西城 长椿街 二环内,490,万,113795,元/平米,1992年建/板楼,1室1厅1厨1卫,高楼层 (共6层),43.06㎡,南,简装,一梯四户,无,70年
751,西便门外大街,西城 木樨地 二至三环,916,万,154992,元/平米,1988年建/板楼,2室1厅1厨1卫,低楼层 (共12层),59.1㎡,东,其他,两梯八户,有,70年
752,椿树园,西城 宣武门 二环内,620,万,132763,元/平米,1999年建/板塔结合,1室1厅1厨1卫,低楼层 (共13层),46.7㎡,南,简装,一梯三户,有,70年
753,地藏庵,西城 月坛 二至三环,992,万,129504,元/平米,1980年建/板楼,3室1厅1厨1卫,底层 (共6层),76.6㎡,东 西,其他,一梯两户,无,70年
754,蝶翠华庭,西城 广安门 二至三环,675,万,100223,元/平米,2004年建/塔楼,1室1厅1厨1卫,中楼层 (共21层),67.35㎡,东 北,简装,三梯十户,有,70年
755,蝶翠华庭,西城 广安门 二至三环,845,万,89504,元/平米,2003年建/塔楼,2室1厅1厨2卫,高楼层 (共29层),94.41㎡,东南 西北,精装,三梯十户,有,70年
756,新明胡同,西城 马甸 二至三环,900,万,126761,元/平米,1989年建/板楼,3室1厅1厨1卫,中楼层 (共6层),71㎡,东 西,精装,一梯两户,无,70年
757,安德路,西城 六铺炕 二至三环,1050,万,124852,元/平米,1997年建/板楼,2室2厅1厨1卫,低楼层 (共12层),84.1㎡,东 西,简装,两梯八户,有,70年
758,白广路6号院,西城 牛街 二环内,580,万,65671,元/平米,1955年建/板楼,3室0厅1厨2卫,高楼层 (共6层),88.32㎡,东 西,简装,一梯四户,无,70年
759,常青藤嘉园,西城 马连道 二至三环,600,万,91158,元/平米,2004年建/板楼,1室1厅1厨1卫,中楼层 (共16层),65.82㎡,北,其他,两梯六户,有,70年
760,朝阳庵,西城 车公庄 二至三环,589,万,95773,元/平米,1992年建/板楼,2室1厅1厨1卫,顶层 (共6层),61.5㎡,南 北,其他,一梯两户,无,70年
761,月坛南街北里,西城 月坛 二至三环,768,万,126943,元/平米,1990年建/塔楼,2室1厅1厨1卫,高楼层 (共16层),60.5㎡,南,毛坯,两梯八户,有,70年
762,羊肉胡同120号院,西城 金融街 二环内,980,万,119952,元/平米,1989年建/板楼,3室1厅1厨1卫,顶层 (共6层),81.7㎡,南 北,简装,一梯四户,无,70年
763,车站西街17号院,西城 广安门 二至三环,565,万,92654,元/平米,1985年建/板楼,2室1厅1厨1卫,高楼层 (共6层),60.98㎡,东 西,简装,一梯两户,无,70年
764,平原里小区,西城 牛街 二环内,766,万,94347,元/平米,1999年建/板楼,3室1厅1厨1卫,顶层 (共9层),81.19㎡,南 北,其他,两梯两户,有,70年
765,南纬路南巷9号院,西城 陶然亭 二环内,840,万,119881,元/平米,1983年建/板楼,3室1厅1厨1卫,中楼层 (共6层),70.07㎡,南 北,其他,一梯两户,无,70年
766,北露园,西城 阜成门 二至三环,1250,万,117814,元/平米,1993年建/板楼,3室1厅1厨1卫,中楼层 (共6层),106.1㎡,东 西,简装,一梯三户,无,70年
767,新文化街,西城 金融街 二环内,1030,万,217300,元/平米,1989年建/塔楼,1室1厅1厨1卫,高楼层 (共16层),47.4㎡,西北,其他,两梯八户,有,70年
768,灵境胡同,西城 西单 二环内,982,万,133970,元/平米,1982年建/板楼,3室1厅1厨2卫,底层 (共6层),73.3㎡,南 北,其他,一梯两户,无,70年
769,德胜置业,西城 六铺炕 二至三环,1800,万,91329,元/平米,2005年建/板楼,3室2厅1厨2卫,高楼层 (共20层),197.09㎡,南,精装,三梯九户,有,70年
770,万博苑,西城 右安门内 二环内,1100,万,81452,元/平米,1999年建/塔楼,3室2厅1厨2卫,低楼层 (共23层),135.05㎡,西南,简装,两梯八户,有,70年
771,恒昌花园,西城 广安门 二至三环,1330,万,88904,元/平米,1996年建/塔楼,3室2厅1厨1卫,中楼层 (共23层),149.6㎡,东 南,简装,两梯六户,有,70年
772,广安门外南街,西城 天宁寺 二至三环,630,万,85984,元/平米,1998年建/板塔结合,2室1厅1厨1卫,中楼层 (共14层),73.27㎡,南 北,简装,两梯十一户,有,70年
773,新安南里,西城 右安门内 二环内,660,万,111827,元/平米,1997年建/板楼,2室1厅1厨1卫,低楼层 (共6层),59.02㎡,东 西,毛坯,一梯两户,暂无数据,70年
774,小市口胡同3号院,西城 六铺炕 二至三环,799,万,129919,元/平米,1992年建/板楼,2室1厅1厨1卫,中楼层 (共6层),61.5㎡,南 北,精装,一梯两户,无,70年
775,西环景苑,西城 马连道 二至三环,850,万,78931,元/平米,2001年建/塔楼,3室1厅1厨1卫,高楼层 (共19层),107.69㎡,南 北,精装,两梯九户,有,70年
776,红居街10号院,西城 广安门 二至三环,1287,万,109635,元/平米,2004年建/板楼,3室1厅1厨1卫,高楼层 (共20层),117.39㎡,南 北,简装,两梯六户,有,70年
777,北露园,西城 阜成门 二至三环,815,万,105298,元/平米,1993年建/板楼,2室1厅1厨1卫,高楼层 (共6层),77.4㎡,东,精装,一梯三户,无,70年
778,新文化街,西城 金融街 二环内,1010,万,141062,元/平米,1979年建/板楼,3室1厅1厨1卫,底层 (共5层),71.6㎡,南 北,简装,一梯三户,无,70年
779,清芷园,西城 右安门内 二环内,1720,万,103106,元/平米,2000年建/板塔结合,3室2厅1厨2卫,中楼层 (共17层),166.82㎡,南 北,其他,两梯四户,有,70年
780,车站西街15号院,西城 广安门 二至三环,790,万,90379,元/平米,1997年建/板楼,2室1厅1厨1卫,中楼层 (共6层),87.41㎡,南 西,简装,一梯三户,无,70年
