,小区名称,所在区域,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限,位置名称,总价(万),单价(元/平米),建筑类型,楼层总数
1451,什坊街2号院,二至三环,1999,1室1厅1厨1卫,底层 ,68.7㎡,东南,精装,两梯十户,有,70年,六铺炕,906.0,131878,塔楼,21
1452,新外大街10号院,二至三环,1963,2室1厅1厨1卫,顶层 ,67.1㎡,南 北,精装,一梯三户,无,70年,马甸,855.0,127422,板楼,5
1453,南礼士路,二至三环,1982,3室1厅1厨1卫,顶层 ,69.7㎡,东 西,精装,一梯两户,无,70年,月坛,779.0,111765,板楼,6
1454,虎坊路小区,二环内,1980,2室1厅1厨1卫,顶层 ,59.64㎡,东 西,简装,一梯六户,无,70年,陶然亭,600.0,100604,板楼,6
1455,复兴门外大街,二至三环,1990,1室1厅1厨1卫,低楼层 ,50.1㎡,南,精装,两梯二十户,有,70年,木樨地,770.0,153693,塔楼,16
1456,槐柏树街1号院,二环内,1956,2室1厅1厨1卫,低楼层 ,62.18㎡,东,简装,一梯三户,暂无数据,70年,长椿街,580.0,93278,板楼,6
1457,清芷园,二环内,2000,2室1厅1厨1卫,中楼层 ,78.18㎡,西北,精装,两梯七户,有,70年,右安门内,885.0,113201,板塔结合,18
1458,荣丰2008,二至三环,2007,1室1厅1厨1卫,高楼层 ,30.31㎡,北,简装,三梯二十五户,有,70年,广安门,484.0,159684,塔楼,16
1459,锦上国际公寓,二环内,2007,1室1厅1厨1卫,低楼层 ,71.9㎡,北,简装,五梯二十五户,有,70年,长椿街,540.0,75105,塔楼,16
1460,百万庄2号院,二至三环,1962,2室2厅1厨1卫,顶层 ,70.3㎡,南 北,简装,一梯三户,暂无数据,70年,阜成门,650.0,92461,板楼,5
1461,远见名苑,二至三环,2004,1室1厅1厨1卫,低楼层 ,54.46㎡,北,简装,三梯十四户,有,70年,广安门,570.0,104664,塔楼,26
1462,庄胜二期,二环内,2004,1室0厅1厨1卫,高楼层 ,44.03㎡,南,精装,两梯五户,有,70年,宣武门,640.0,145356,板塔结合,12
1463,马连道中里,二至三环,1997,2室1厅1厨1卫,中楼层 ,60.75㎡,南 北,简装,一梯三户,无,70年,马连道,580.0,95474,板楼,6
1464,西城晶华,二环内,2008,2室2厅1厨1卫,中楼层 ,97.04㎡,东 南,精装,两梯八户,有,70年,金融街,1528.0,157461,板塔结合,11
1465,新外大街10号院,二至三环,1994,2室1厅1厨1卫,顶层 ,61.2㎡,南 北,精装,一梯两户,无,70年,马甸,850.0,138889,板楼,6
1466,新街口西里二区,二环内,2004,1室1厅1厨1卫,底层 ,60.64㎡,南,其他,一梯五户,无,70年,新街口,728.0,120053,板楼,7
1467,马连道北街,二至三环,1987,2室1厅1厨1卫,高楼层 ,53.17㎡,东北,毛坯,一梯五户,无,70年,马连道,540.0,101562,板楼,6
1468,新安南里,二环内,1997,2室1厅1厨1卫,顶层 ,59.02㎡,东 西,其他,一梯两户,暂无数据,70年,右安门内,650.0,110133,板楼,6
1469,平原里小区,二环内,1999,2室1厅1厨1卫,低楼层 ,64.18㎡,西南,简装,两梯两户,有,70年,牛街,630.0,98162,板楼,9
1470,考拉社区,二至三环,2006,1室1厅1厨1卫,高楼层 ,56.74㎡,东北,精装,四梯十七户,有,70年,菜户营,510.0,89884,塔楼,21
1471,双旗杆东里,二至三环,1995,2室1厅1厨1卫,高楼层 ,66.3㎡,东南,精装,两梯十户,有,70年,马甸,850.0,128206,塔楼,18
1472,槐柏树街北里,二环内,1980,3室1厅1厨1卫,高楼层 ,56.07㎡,南 北,简装,一梯三户,无,70年,长椿街,720.0,128411,板楼,6
1473,新外大街6号院,二至三环,1987,2室1厅1厨1卫,高楼层 ,60.7㎡,南 北,精装,一梯两户,无,70年,马甸,880.0,144976,板楼,6
1474,荣丰2008,二至三环,2005,1室1厅1厨1卫,顶层 ,34.96㎡,东南,简装,三梯三十七户,有,70年,广安门,460.0,131579,塔楼,10
1475,馨莲茗园,二至三环,2003,1室1厅1厨1卫,低楼层 ,64.28㎡,北,精装,四梯十二户,有,70年,马连道,535.0,83230,板塔结合,25
1476,西便门西里,二至三环,1988,1室1厅1厨1卫,高楼层 ,40.89㎡,南,简装,一梯三户,无,70年,木樨地,460.0,112497,板楼,6
1477,马甸南村,二至三环,1988,3室1厅1厨1卫,低楼层 ,68.2㎡,东 北,其他,两梯八户,有,70年,马甸,940.0,137830,塔楼,20
1478,白纸坊西街,二环内,2004,2室1厅1厨1卫,中楼层 ,93.22㎡,南 北,精装,两梯五户,有,70年,右安门内,950.0,101910,塔楼,16
1479,丽水莲花,二至三环,2009,2室1厅1厨1卫,中楼层 ,102.23㎡,西,其他,两梯五户,有,70年,广安门,890.0,87059,塔楼,24
1480,法源寺西里小区,二环内,1998,2室1厅1厨1卫,中楼层 ,72.31㎡,南 北,其他,一梯三户,无,70年,牛街,708.0,97912,板楼,6
1481,红山世家,二至三环,2011,2室1厅1厨1卫,中楼层 ,92.11㎡,东 西,精装,两梯四户,有,70年,广安门,1030.0,111823,板塔结合,28
1482,白纸坊西街,二环内,1998,2室1厅1厨1卫,高楼层 ,104.45㎡,南 北,精装,一梯三户,有,70年,右安门内,1200.0,114888,板塔结合,12
1483,陶然居,二环内,2000,2室1厅1厨1卫,中楼层 ,77.47㎡,东 北,精装,两梯六户,有,70年,牛街,800.0,103266,塔楼,20
1484,万明园,二至三环,1992,2室1厅1厨1卫,中楼层 ,60.7㎡,西,简装,一梯四户,无,70年,月坛,680.0,112027,板楼,6
1485,右安胡同乙7号院,二环内,1983,2室1厅1厨1卫,中楼层 ,57.74㎡,南 北,简装,一梯三户,无,40年,右安门内,610.0,105646,板楼,6
1486,车站西街15号院,二至三环,1994,2室1厅1厨1卫,低楼层 ,56.75㎡,南 北,其他,一梯两户,无,70年,广安门,630.0,111014,板楼,6
1487,红山世家,二至三环,2011,2室1厅1厨1卫,底层 ,91.98㎡,西,精装,两梯四户,有,70年,广安门,900.0,97848,板塔结合,26
1488,北三环中路12号院,二至三环,1990,1室1厅1厨1卫,高楼层 ,46㎡,南,简装,一梯十户,有,70年,马甸,660.0,143479,板楼,12
1489,百万庄午区,二至三环,1956,2室1厅1厨1卫,底层 ,57㎡,南 北,其他,一梯两户,无,70年,阜成门,670.0,117544,板楼,3
1490,北安里9号院,二环内,1982,2室1厅1厨1卫,高楼层 ,54.4㎡,南 北,简装,一梯三户,无,70年,西单,710.0,130515,板楼,6
1491,朗琴园,二至三环,2006,1室0厅1厨1卫,低楼层 ,58.66㎡,西,其他,三梯九户,有,70年,广安门,600.0,102285,塔楼,29
1492,宣武门外东大街,二环内,1970,1室1厅1厨1卫,底层 ,41.72㎡,南,其他,一梯六户,有,70年,宣武门,565.0,135427,板楼,10
1493,畅柳园,二环内,2003,1室1厅1厨1卫,低楼层 ,59.06㎡,西,其他,一梯六户,有,70年,陶然亭,630.0,106672,板塔结合,14
1494,新康街甲一号,二至三环,1998,2室1厅1厨1卫,中楼层 ,77.53㎡,南 北,其他,两梯两户,有,70年,马甸,1180.0,152200,板塔结合,13
1495,官苑8号,二环内,2007,1室1厅1厨1卫,低楼层 ,64.78㎡,东,其他,两梯六户,有,70年,官园,1053.0,162551,板塔结合,16
1496,三庙街,二环内,1990,2室1厅1厨1卫,顶层 ,64.67㎡,南 北,精装,一梯三户,无,70年,长椿街,640.0,98964,板楼,6
1497,红莲晴园,二至三环,2000,1室1厅1厨1卫,低楼层 ,63.76㎡,东,精装,两梯八户,有,70年,马连道,575.0,90182,塔楼,18
1498,法源寺西里小区,二环内,1998,1室1厅1厨1卫,中楼层 ,48.67㎡,南,简装,一梯四户,无,70年,牛街,470.0,96569,板楼,6
1499,右安门内西街甲10号院,二环内,1985,2室1厅1厨1卫,中楼层 ,62.83㎡,南 北,精装,一梯三户,无,70年,右安门内,650.0,103454,板楼,6
1500,灵境胡同,二环内,1987,2室1厅1厨1卫,底层 ,58.1㎡,南 北,其他,一梯两户,无,70年,西单,899.0,154734,板楼,6
1501,裕中东里,三至四环,1986,2室1厅1厨1卫,中楼层 ,60.2㎡,南 北,简装,一梯两户,无,70年,马甸,835.0,138705,板楼,6
1502,月坛北小街5号院,二至三环,1960,1室1厅1厨1卫,底层 ,52.6㎡,东,精装,一梯三户,无,70年,月坛,520.0,98860,板楼,4
1503,双旗杆东里,二至三环,1986,2室1厅1厨1卫,低楼层 ,75.2㎡,南,简装,两梯八户,有,70年,马甸,920.0,122341,塔楼,18
1504,新风南里,二至三环,1993,2室1厅1厨1卫,低楼层 ,76.7㎡,南 北,精装,一梯三户,无,70年,马甸,1160.0,151239,板楼,6
1505,新安中里,二环内,2004,1室1厅1厨1卫,底层 ,53.62㎡,南 北,其他,一梯两户,无,70年,右安门内,570.0,106304,板楼,7
1506,三里河二区A区,二至三环,1999,2室1厅1厨1卫,中楼层 ,84.3㎡,西 北,简装,两梯十户,有,70年,月坛,1148.0,136181,塔楼,20
1507,车公庄北里,二至三环,1987,1室1厅1厨1卫,中楼层 ,44.2㎡,东北,精装,两梯八户,有,70年,车公庄,525.0,118779,塔楼,19
1508,广安门外车站东街,二至三环,1992,2室1厅1厨1卫,顶层 ,58.37㎡,南 北,精装,一梯两户,无,70年,天宁寺,610.0,104506,板楼,6
1509,德胜置业,二至三环,2005,4室1厅1厨3卫,中楼层 ,266.75㎡,北,其他,三梯九户,有,70年,六铺炕,2000.0,74977,板楼,20
1510,南礼士路,二至三环,1982,3室1厅1厨1卫,中楼层 ,69.7㎡,东 西,简装,一梯两户,无,70年,月坛,766.0,109900,板楼,6
1511,宣武门西大街,二环内,1970,2室1厅1厨1卫,中楼层 ,49.49㎡,南,简装,一梯八户,有,70年,金融街,519.0,104870,板楼,10
1512,樱桃二条8号院,二环内,2004,1室1厅1厨1卫,顶层 ,61.91㎡,南,简装,一梯三户,有,70年,白纸坊,562.0,90777,板塔结合,14
1513,铁二区,二至三环,1998,2室1厅1厨1卫,底层 ,65.8㎡,南,其他,两梯十户,有,70年,月坛,848.0,128876,塔楼,18
1514,六铺炕二区,二至三环,1981,2室1厅1厨1卫,中楼层 ,53.2㎡,南 北,简装,一梯两户,无,70年,六铺炕,796.0,149625,板楼,6
1515,广外南街63号院,二至三环,2000,1室1厅1厨1卫,中楼层 ,65.48㎡,南,简装,两梯八户,有,70年,天宁寺,588.0,89799,塔楼,20
1516,莲花池东路,二至三环,1987,2室1厅1厨1卫,顶层 ,61.2㎡,西南,精装,两梯八户,有,70年,木樨地,765.0,125000,塔楼,16
1517,新壁街,二环内,2004,2室1厅1厨1卫,中楼层 ,68.51㎡,南 北,精装,一梯五户,无,70年,西单,855.0,124800,板楼,6
1518,羊肉胡同120号院,二环内,1990,2室1厅1厨1卫,底层 ,61.3㎡,南 北,简装,一梯两户,无,70年,金融街,750.0,122350,板楼,6
1519,复兴门外大街,二至三环,1983,2室1厅1厨1卫,高楼层 ,70.8㎡,南 北,其他,两梯八户,有,70年,木樨地,878.0,124012,塔楼,16
1520,丽水莲花,二至三环,2009,1室1厅1厨1卫,低楼层 ,69.1㎡,东,其他,两梯三户,有,70年,广安门,620.0,89726,板楼,21
1521,安德路,二至三环,1997,2室1厅1厨1卫,高楼层 ,86.3㎡,东 西,简装,两梯九户,有,70年,六铺炕,1090.0,126304,板楼,12
1522,春风胡同社区,二环内,2004,3室1厅1厨1卫,中楼层 ,85.47㎡,东 西,简装,一梯两户,无,70年,牛街,768.0,89857,板楼,6
1523,京畿道,二环内,1993,3室1厅1厨1卫,高楼层 ,78.6㎡,南 北,其他,一梯三户,无,70年,金融街,1336.0,169975,板楼,6
1524,阜成门外大街,二至三环,1950,2室1厅1厨1卫,中楼层 ,75.38㎡,南,简装,一梯三户,无,70年,月坛,820.0,108783,板楼,5
1525,常青藤嘉园,二至三环,2004,1室1厅1厨1卫,中楼层 ,65.82㎡,北,其他,两梯六户,有,70年,马连道,600.0,91158,板楼,16
1526,中信锦园,二环内,2009,2室2厅1厨1卫,顶层 ,96.26㎡,南 北,精装,两梯四户,有,70年,陶然亭,1420.0,147518,板塔结合,18
1527,水电部宿舍,二至三环,1950,2室1厅1厨1卫,中楼层 ,69㎡,南 北,其他,一梯三户,无,70年,月坛,593.0,85943,板楼,6
1528,小后仓,二环内,1990,1室1厅1厨1卫,低楼层 ,46.1㎡,西,其他,一梯两户,暂无数据,70年,官园,576.0,124946,板楼,9
1529,南露园,二至三环,1993,2室1厅1厨1卫,中楼层 ,90.9㎡,南 北,精装,一梯两户,无,70年,阜成门,968.0,106491,板楼,6
1530,广安门外南街,二至三环,1986,3室1厅1厨1卫,顶层 ,72.64㎡,东 西,其他,一梯两户,无,70年,天宁寺,800.0,110133,板楼,6
1531,黑窑厂西里,二环内,1970,3室1厅1厨1卫,中楼层 ,67.8㎡,东 西 北,其他,一梯三户,无,70年,陶然亭,1100.0,162242,板楼,5
1532,双旗杆东里,二至三环,1984,2室1厅1厨1卫,中楼层 ,56.4㎡,南 北,其他,一梯三户,无,70年,马甸,865.0,153369,板楼,5
1533,德胜里西街3号院,二至三环,1990,3室1厅1厨1卫,中楼层 ,82.6㎡,南 北,精装,一梯三户,无,70年,德胜门,1230.0,148911,板楼,6
1534,荣丰2008,二至三环,2005,1室1厅1厨1卫,中楼层 ,35.18㎡,西南,精装,三梯三十七户,有,70年,广安门,438.0,124503,塔楼,10
1535,鸭子桥南里,二至三环,1980,3室1厅1厨1卫,顶层 ,73.23㎡,东 南 西,简装,一梯三户,无,70年,菜户营,623.0,85075,板楼,6
1536,虎坊路小区,二环内,1950,2室1厅1厨1卫,顶层 ,55.67㎡,南 北,简装,一梯三户,无,70年,陶然亭,580.0,104186,板楼,4
1537,新外大街28号院,二至三环,1999,2室1厅1厨1卫,地下室 ,81.1㎡,东 西,精装,一梯三户,有,70年,德胜门,1020.0,125771,板塔结合,8
1538,荣丰2008,二至三环,2005,1室1厅1厨2卫,高楼层 ,35.28㎡,西南,简装,三梯三十九户,有,70年,广安门,459.0,130103,塔楼,12
1539,椿树园,二环内,1999,1室1厅1厨1卫,高楼层 ,47.95㎡,东,精装,两梯十四户,有,70年,宣武门,630.0,131387,塔楼,18
1540,新外大街10号院,二至三环,1994,2室1厅1厨1卫,中楼层 ,59.6㎡,东南,精装,一梯四户,无,70年,马甸,815.0,136745,板楼,6
1541,建功北里,二环内,1996,2室1厅1厨1卫,地下室 ,58.99㎡,南 北,简装,一梯三户,无,70年,白纸坊,385.0,65266,板楼,6
1542,西便门外大街,二至三环,1955,3室1厅1厨1卫,顶层 ,90.7㎡,南 北,毛坯,一梯三户,无,70年,木樨地,980.0,108049,板楼,4
1543,马连道中里,二至三环,1996,2室1厅1厨1卫,底层 ,64.28㎡,南,简装,一梯四户,无,70年,马连道,590.0,91786,板楼,6
1544,参政胡同19号院,二环内,1986,3室1厅1厨1卫,高楼层 ,83㎡,东 南,其他,两梯十二户,有,70年,金融街,1245.0,150000,板楼,16
1545,报国寺东夹道1号东院,二环内,1984,2室1厅1厨1卫,中楼层 ,70.76㎡,东 南 西,简装,一梯五户,无,70年,长椿街,680.0,96100,板楼,6
1546,小马厂西里,二至三环,1980,2室1厅1厨1卫,中楼层 ,57.5㎡,南,简装,一梯六户,暂无数据,70年,广安门,510.0,88696,板楼,12
1547,马连道中里,二至三环,1998,2室1厅1厨1卫,顶层 ,78.44㎡,东南 北,精装,两梯八户,有,70年,马连道,710.0,90516,塔楼,18
1548,法源寺西里小区,二环内,1998,2室1厅1厨1卫,中楼层 ,72㎡,东 西,精装,一梯三户,无,70年,牛街,678.0,94167,板楼,6
1549,天宁寺前街,二至三环,1996,2室1厅1厨1卫,中楼层 ,91.12㎡,东南 西北,简装,一梯两户,暂无数据,70年,天宁寺,775.0,85053,板楼,8
1550,兴华胡同,二环内,1984,2室1厅1厨1卫,高楼层 ,63.5㎡,南 北,简装,一梯两户,无,70年,地安门,860.0,135434,板楼,6
1551,天宁寺东里,二至三环,1973,2室1厅1厨1卫,顶层 ,47.37㎡,东 西,精装,一梯三户,无,70年,天宁寺,435.0,91831,板楼,5
1552,泰然居,二环内,2002,2室1厅1厨1卫,中楼层 ,78.62㎡,东 北,简装,两梯九户,有,70年,右安门内,880.0,111931,板塔结合,13
1553,德外大街2号院,二至三环,1996,2室1厅1厨1卫,中楼层 ,77.9㎡,西北,简装,两梯十五户,有,70年,马甸,935.0,120026,板楼,12
1554,白广路西里,二环内,1958,2室1厅1厨1卫,中楼层 ,60.67㎡,东 西,其他,一梯三户,无,70年,白纸坊,628.0,103511,板楼,4
1555,红莲北里,二至三环,1986,2室1厅1厨1卫,中楼层 ,61.24㎡,南 北,精装,一梯三户,无,70年,马连道,620.0,101242,板楼,6
1556,报国寺东夹道1号东院,二环内,1984,2室1厅1厨1卫,高楼层 ,51.61㎡,东,精装,一梯五户,无,70年,长椿街,550.0,106569,板楼,6
1557,新街口西里三区,二环内,2003,1室1厅1厨1卫,中楼层 ,51.35㎡,东,精装,一梯四户,无,70年,新街口,595.0,115872,板楼,6
1558,远见名苑,二至三环,2004,2室1厅1厨1卫,低楼层 ,81.53㎡,西南,精装,三梯十四户,有,70年,广安门,780.0,95671,塔楼,26
1559,牛街西里,二环内,2003,2室1厅1厨1卫,低楼层 ,75.41㎡,西南,简装,三梯十二户,有,70年,牛街,650.0,86196,塔楼,20
1560,马连道中里,二至三环,1995,2室1厅1厨1卫,高楼层 ,70.66㎡,南 东北,精装,两梯八户,有,70年,马连道,700.0,99066,塔楼,18
1561,月坛北街,二至三环,1973,1室1厅1厨1卫,底层 ,33.3㎡,南,简装,一梯三户,无,70年,月坛,535.0,160661,板楼,5
1562,真武庙,二至三环,1982,2室1厅1厨1卫,顶层 ,58.4㎡,东 西,精装,一梯三户,无,70年,木樨地,685.0,117295,板楼,6
1563,北纬路49号院,二环内,1980,2室1厅1厨1卫,顶层 ,47.77㎡,南,精装,一梯四户,无,70年,陶然亭,498.0,104250,板楼,6
1564,蝶翠华庭,二至三环,2004,1室1厅1厨1卫,中楼层 ,69.22㎡,西北,简装,三梯十户,有,70年,广安门,685.0,98960,塔楼,21
1565,远见国际公寓,二至三环,2008,1室1厅1厨1卫,中楼层 ,67.64㎡,东,精装,四梯十九户,有,70年,广安门,610.0,90184,塔楼,26
1566,安德东里,二至三环,1966,3室1厅1厨1卫,中楼层 ,83.8㎡,南 北,简装,一梯三户,无,70年,六铺炕,1000.0,119332,板楼,5
1567,德胜门外大街1号院,二至三环,1990,2室1厅1厨1卫,顶层 ,68.98㎡,东 西,精装,一梯三户,无,70年,马甸,1000.0,144970,板楼,6
1568,高家寨,二环内,1980,2室1厅1厨1卫,顶层 ,50.31㎡,东,简装,一梯三户,无,70年,陶然亭,680.0,135162,板楼,6
1569,红莲北里,二至三环,1987,2室1厅1厨1卫,顶层 ,54.86㎡,南 北,精装,一梯三户,无,70年,马连道,540.0,98433,板楼,6
1570,德胜里一区,二至三环,1989,2室1厅1厨1卫,底层 ,61.8㎡,东,其他,一梯四户,无,70年,德胜门,859.0,138997,板楼,6
1571,教育街,二环内,1981,2室1厅1厨1卫,低楼层 ,55.2㎡,南,简装,一梯三户,暂无数据,70年,金融街,820.0,148551,板塔结合,12
1572,青春无限,二环内,2004,1室1厅1厨1卫,中楼层 ,67.49㎡,北,简装,三梯十六户,有,70年,牛街,550.0,81494,塔楼,22
1573,馨莲茗园,二至三环,2003,2室1厅1厨1卫,低楼层 ,67.45㎡,北,简装,一梯三户,有,70年,马连道,580.0,85990,板塔结合,15
1574,阜成门南大街,二至三环,1992,3室1厅1厨1卫,低楼层 ,76.9㎡,东 西 北,简装,两梯十户,有,70年,月坛,875.0,113785,塔楼,20
1575,白菜湾四巷17号院,二至三环,1988,3室1厅1厨1卫,中楼层 ,66.49㎡,东 西,简装,一梯两户,无,70年,天宁寺,720.0,108287,板楼,6
1576,裕中东里,三至四环,1994,2室1厅1厨1卫,中楼层 ,83.3㎡,南,精装,两梯八户,有,70年,马甸,1110.0,133254,塔楼,16
1577,三里河居民区,二至三环,1987,3室1厅1厨1卫,底层 ,63.7㎡,南 北,其他,一梯两户,无,70年,月坛,999.0,156829,板楼,6
1578,裕中西里,三至四环,1982,2室1厅1厨1卫,底层 ,60.7㎡,东 西,简装,一梯三户,无,70年,马甸,840.0,138386,板楼,6
1579,新壁街,二环内,2004,3室1厅1厨2卫,顶层 ,116.76㎡,东 西,其他,一梯四户,无,70年,西单,1300.0,111340,板楼,6
1580,朝阳庵,二至三环,1981,2室1厅1厨1卫,底层 ,55.4㎡,南 北,毛坯,一梯四户,无,70年,车公庄,572.0,103250,板楼,5
1581,双槐里,二环内,1990,3室1厅1厨1卫,中楼层 ,78.55㎡,南,其他,一梯十户,无,70年,牛街,795.0,101210,板楼,6
1582,茗筑,二至三环,2008,3室1厅1厨2卫,中楼层 ,132.98㎡,东 西,简装,三梯九户,有,70年,马连道,940.0,70688,塔楼,27
1583,北滨河路2号院,二至三环,1992,2室1厅1厨1卫,高楼层 ,65.3㎡,东南,精装,两梯九户,有,70年,木樨地,1100.0,168454,塔楼,20
1584,北礼士路,二至三环,1991,2室1厅1厨1卫,中楼层 ,67.8㎡,东 西,简装,一梯五户,有,70年,官园,685.0,101033,板楼,16
1585,大井胡同,二至三环,1989,3室1厅1厨1卫,中楼层 ,65.6㎡,南 北,其他,一梯两户,无,70年,六铺炕,930.0,141769,板楼,6
1586,玉桃园二区,二环内,1997,4室2厅1厨2卫,顶层 ,123.9㎡,南 北,简装,一梯两户,无,70年,西直门,1362.0,109928,板楼,6
1587,裕中西里,三至四环,1980,4室1厅1厨1卫,底层 ,78.1㎡,东 南 北,简装,一梯三户,无,70年,马甸,1030.0,131883,板楼,6
1588,三里河二区A区,二至三环,1999,1室1厅1厨1卫,高楼层 ,53.3㎡,南,精装,两梯十户,有,70年,月坛,820.0,153847,塔楼,20
1589,安德路,二至三环,1997,2室1厅1厨1卫,高楼层 ,82.8㎡,东 西,其他,两梯八户,有,70年,六铺炕,1080.0,130435,板楼,12
1590,安德路,二至三环,1997,2室1厅1厨1卫,高楼层 ,82.8㎡,东 西,其他,两梯八户,有,70年,六铺炕,1080.0,130435,板楼,12
1591,育人里小区,二环内,1999,3室1厅1厨1卫,中楼层 ,99.37㎡,南 北,简装,一梯两户,无,70年,右安门内,1019.0,102547,板楼,6
1592,中信禧园,二环内,2013,3室2厅1厨2卫,中楼层 ,142.07㎡,南,精装,两梯三户,有,70年,陶然亭,2300.0,161893,板塔结合,20
1593,三里河北街3号院,二至三环,1991,2室1厅1厨1卫,低楼层 ,71.7㎡,西北,毛坯,四梯八户,有,70年,月坛,919.0,128173,塔楼,18
1594,北营房东里,二至三环,1998,3室1厅1厨2卫,低楼层 ,123.1㎡,东 西 北,精装,两梯六户,有,70年,阜成门,1360.0,110480,塔楼,20
1595,清芷园,二环内,2003,4室2厅1厨2卫,高楼层 ,205㎡,南 北,精装,两梯七户,有,70年,右安门内,2090.0,101952,板塔结合,19
1596,百万庄大街21号院,二至三环,2012,3室1厅1厨1卫,高楼层 ,94.48㎡,西北,简装,一梯三户,有,70年,阜成门,1150.0,121719,板塔结合,14
1597,铁路巷,二至三环,1981,2室1厅1厨1卫,中楼层 ,53.1㎡,南 北,精装,一梯三户,无,70年,车公庄,658.0,123918,板楼,5
1598,裕中西里,三至四环,1991,2室1厅1厨1卫,底层 ,65㎡,南 北,其他,两梯七户,有,70年,马甸,860.0,132308,塔楼,20
1599,荣丰2008,二至三环,2005,1室1厅1厨1卫,高楼层 ,28.83㎡,北,简装,三梯三十九户,有,70年,广安门,388.0,134583,塔楼,12
1600,教场口街2号院,二至三环,2000,2室1厅1厨1卫,高楼层 ,69.9㎡,南 北,简装,一梯两户,无,70年,六铺炕,982.0,140487,板楼,6
1601,一瓶,二环内,2008,2室2厅1厨2卫,中楼层 ,113.31㎡,南 北,其他,一梯两户,有,70年,陶然亭,1670.0,147384,板楼,13
1602,广安门外大街,二至三环,1995,2室2厅1厨1卫,中楼层 ,74.39㎡,东南,简装,两梯八户,有,70年,广安门,790.0,106198,塔楼,18
1603,荣丰2008,二至三环,2004,1室1厅1厨1卫,高楼层 ,30.74㎡,南,其他,四梯三十九户,有,70年,广安门,458.0,148992,塔楼,20
1604,团结大院,二至三环,1985,3室1厅1厨1卫,低楼层 ,81.7㎡,南 北,简装,一梯三户,无,70年,车公庄,915.0,111996,板楼,6
1605,陶然北岸,二环内,2004,3室1厅1厨2卫,中楼层 ,117.89㎡,东 北,简装,两梯五户,有,70年,陶然亭,1396.0,118416,塔楼,18
1606,清芷园,二环内,2000,3室1厅1厨1卫,低楼层 ,122.02㎡,南,精装,两梯六户,有,70年,右安门内,1298.0,106377,板塔结合,17
1607,南礼士路46号院,二至三环,2014,1室1厅1厨1卫,高楼层 ,82.24㎡,西,精装,两梯六户,有,70年,月坛,1080.0,131323,板楼,25
1608,百万庄大街甲21号院,二至三环,1987,2室1厅1厨1卫,中楼层 ,63.7㎡,南 北,精装,一梯三户,无,70年,阜成门,860.0,135008,板楼,6
1609,北露园,二至三环,1993,2室1厅1厨1卫,高楼层 ,63.4㎡,南 北,简装,一梯四户,无,70年,阜成门,688.0,108518,板楼,6
1610,京畿道,二环内,1993,3室1厅1厨1卫,中楼层 ,102.9㎡,东南,精装,一梯两户,无,70年,金融街,1400.0,136055,板楼,6
1611,北欧印象,二至三环,2003,3室1厅1厨2卫,中楼层 ,118.93㎡,南,简装,三梯十户,有,70年,马连道,1180.0,99219,塔楼,25
1612,槐柏树街北里,二环内,1980,2室1厅1厨1卫,低楼层 ,53.81㎡,南 北,简装,一梯三户,无,70年,长椿街,688.0,127858,板楼,6
1613,六铺炕一区,二至三环,1997,3室1厅1厨1卫,高楼层 ,104.2㎡,东 南 北,精装,一梯两户,无,70年,六铺炕,1458.0,139924,板楼,6
1614,海格国际,二环内,2005,1室0厅1厨1卫,中楼层 ,50.01㎡,北,其他,两梯二十户,有,70年,宣武门,560.0,111978,塔楼,19
1615,育人里小区,二环内,1999,3室1厅1厨1卫,高楼层 ,121.8㎡,南 北,其他,一梯两户,无,70年,右安门内,1120.0,91955,板楼,7
1616,一瓶,二环内,2008,4室2厅1厨2卫,低楼层 ,197.58㎡,东 南,精装,两梯两户,有,70年,陶然亭,2290.0,115903,板楼,13
1617,广义街甲6号院,二环内,1986,2室1厅1厨1卫,顶层 ,56.78㎡,南 北,其他,一梯两户,暂无数据,70年,长椿街,540.0,95104,板楼,6
1618,宣武门西大街,二环内,1979,2室0厅1厨1卫,中楼层 ,54.99㎡,南,其他,一梯九户,有,70年,金融街,590.0,107293,板楼,12
1619,四合上院,二环内,2010,2室1厅1厨1卫,中楼层 ,88.39㎡,南,精装,一梯三户,有,70年,宣武门,1328.0,150244,板塔结合,16
1620,玉桃园三区,二环内,1990,1室1厅1厨1卫,底层 ,43.4㎡,南,其他,一梯四户,无,70年,西直门,565.0,130185,板楼,5
1621,马甸南村,二至三环,1986,2室1厅1厨1卫,中楼层 ,57.2㎡,南 北,精装,一梯两户,无,70年,马甸,860.0,150350,板楼,6
1622,马连道路13号院,二至三环,1990,2室1厅1厨1卫,底层 ,51.37㎡,西北 南,精装,一梯五户,无,70年,马连道,448.0,87211,板塔结合,6
1623,三庙街,二环内,1976,2室1厅1厨1卫,底层 ,44.2㎡,南,简装,一梯三户,无,70年,长椿街,540.0,122172,板楼,5
1624,庄胜二期,二环内,2004,1室1厅1厨1卫,中楼层 ,52.36㎡,北,精装,两梯五户,有,70年,宣武门,745.0,142285,板塔结合,10
1625,白广路6号院,二环内,1956,2室1厅1厨1卫,中楼层 ,72.72㎡,南 北,简装,一梯三户,无,70年,牛街,660.0,90760,板楼,5
